"BIBC 103",LE,A00,MWF,9:00a-9:50a,YORK,4080A,Bozinovic, Goran          ,
"BIBC 103",LA,A01,WF,10:00a-1:50p,YORK,3306,Bozinovic, Goran          ,
"BIBC 103",LA,A02,WF,10:00a-1:50p,YORK,3406,Bozinovic, Goran          ,
"BIBC 103",LE,B00,MWF,1:00p-1:50p,YORK,4080A,Coleman, Aaron B.         ,
"BIBC 103",LA,B01,WF,2:30p-6:20p,YORK,3306,Coleman, Aaron B.         ,
"BIBC 103",LA,B02,WF,2:30p-6:20p,YORK,3406,Coleman, Aaron B.         ,
"BIBC 103",LE,C00,TuTh,12:30p-1:50p,YORK,4080A,Burg, Michael           ,
"BIBC 103",LA,C01,TuTh,2:30p-6:20p,YORK,3306,Burg, Michael           ,
"BIBC 103",LA,C02,TuTh,2:30p-6:20p,YORK,3406,Burg, Michael           ,
"BIBC 120",LE,A00,TuTh,5:00p-6:20p,PETER,108,Coleman, Aaron B.         ,
"BIBC 120",DI,A01,M,5:00p-5:50p,HSS,1128A,Coleman, Aaron B.         ,
"BIBC 120",DI,A02,M,6:00p-6:50p,HSS,1128A,Coleman, Aaron B.         ,
"BIBC 120",DI,A03,M,7:00p-7:50p,HSS,1128A,Coleman, Aaron B.         ,
"BIBC 120",DI,A04,Tu,7:00p-7:50p,HSS,2321,Coleman, Aaron B.         ,
"BIBC 120",DI,A06,W,1:00p-1:50p,SEQUO,147,Coleman, Aaron B.         ,
"BIBC 120",DI,A07,W,6:00p-6:50p,MANDE,B-104,Coleman, Aaron B.         ,
"BIBC 120",DI,A09,Th,7:00p-7:50p,HSS,2321,Coleman, Aaron B.         ,
"BIBC 120",DI,A11,F,3:00p-3:50p,WLH,2206,Coleman, Aaron B.         ,
"BIBC 194",SE,A00,Tu,9:30a-10:50a,YORK,3010,Hui, Enfu             ,
"BICD 100",LE,A00,MWF,3:00p-3:50p,PETER,108,Bozinovic, Goran          ,
"BICD 100",DI,A01,M,12:00p-12:50p,WLH,2115,Bozinovic, Goran          ,
"BICD 100",DI,A02,M,1:00p-1:50p,WLH,2115,Bozinovic, Goran          ,
"BICD 100",DI,A03,M,6:00p-6:50p,HSS,2150,Bozinovic, Goran          ,
